Date,Open,High,Low,Close,Volume
2021. 5. 19 오후 4:00:00,123.16,124.92,122.86,124.69,92611989
2021. 5. 20 오후 4:00:00,125.23,127.72,125.1,127.31,76857123
2021. 5. 21 오후 4:00:00,127.82,128,125.21,125.43,79295436
2021. 5. 24 오후 4:00:00,126.01,127.94,125.94,127.1,63092945
2021. 5. 25 오후 4:00:00,127.82,128.32,126.32,126.9,72009482
2021. 5. 26 오후 4:00:00,126.96,127.39,126.42,126.85,56575920
2021. 5. 27 오후 4:00:00,126.44,127.64,125.08,125.28,94625601
2021. 5. 28 오후 4:00:00,125.57,125.8,124.55,124.61,71311109
2021. 6. 1 오후 4:00:00,125.08,125.35,123.94,124.28,67637118
2021. 6. 2 오후 4:00:00,124.28,125.24,124.05,125.06,59278862
2021. 6. 3 오후 4:00:00,124.68,124.85,123.13,123.54,76229170
2021. 6. 4 오후 4:00:00,124.07,126.16,123.85,125.89,75169343
2021. 6. 7 오후 4:00:00,126.17,126.32,124.83,125.9,71057550
2021. 6. 8 오후 4:00:00,126.6,128.46,126.21,126.74,74403774
2021. 6. 9 오후 4:00:00,127.21,127.75,126.52,127.13,56877937
2021. 6. 10 오후 4:00:00,127.02,128.19,125.94,126.11,71186421
2021. 6. 11 오후 4:00:00,126.53,127.44,126.1,127.35,53522373
2021. 6. 14 오후 4:00:00,127.82,130.54,127.07,130.48,96906490
2021. 6. 15 오후 4:00:00,129.94,130.6,129.39,129.64,62746332
2021. 6. 16 오후 4:00:00,130.37,130.89,128.46,130.15,91815026
2021. 6. 17 오후 4:00:00,129.8,132.55,129.65,131.79,96721669
2021. 6. 18 오후 4:00:00,130.71,131.51,130.24,130.46,108953309
2021. 6. 21 오후 4:00:00,130.3,132.41,129.21,132.3,79663316
2021. 6. 22 오후 4:00:00,132.13,134.08,131.62,133.98,74783618
2021. 6. 23 오후 4:00:00,133.77,134.32,133.23,133.7,60214200
2021. 6. 24 오후 4:00:00,134.45,134.64,132.93,133.41,68710998
2021. 6. 25 오후 4:00:00,133.46,133.89,132.81,133.11,70783746
2021. 6. 28 오후 4:00:00,133.41,135.25,133.35,134.78,62111303
2021. 6. 29 오후 4:00:00,134.8,136.49,134.35,136.33,64556081
2021. 6. 30 오후 4:00:00,136.17,137.41,135.87,136.96,63261393
2021. 7. 1 오후 4:00:00,136.6,137.33,135.76,137.27,52485781
2021. 7. 2 오후 4:00:00,137.9,140,137.75,139.96,78945572
2021. 7. 6 오후 4:00:00,140.07,143.15,140.07,142.02,108181793
2021. 7. 7 오후 4:00:00,143.54,144.89,142.66,144.57,104911589
2021. 7. 8 오후 4:00:00,141.58,144.06,140.67,143.24,105575458
2021. 7. 9 오후 4:00:00,142.75,145.65,142.65,145.11,99890800
2021. 7. 12 오후 4:00:00,146.21,146.32,144,144.5,76299719
2021. 7. 13 오후 4:00:00,144.03,147.46,143.63,145.64,100827099
2021. 7. 14 오후 4:00:00,148.1,149.57,147.68,149.15,127050785
2021. 7. 15 오후 4:00:00,149.24,150,147.09,148.48,106820297
2021. 7. 16 오후 4:00:00,148.46,149.76,145.88,146.39,93251426
