Date,Open,High,Low,Close,Volume
2021. 5. 19 오후 4:00:00,159.75,161.74,159.2,161.59,2679708
2021. 5. 20 오후 4:00:00,162.22,162.98,161.81,162.38,2633192
2021. 5. 21 오후 4:00:00,162.5,162.83,159.85,160.15,4104882
2021. 5. 24 오후 4:00:00,160.78,162.9,160.52,162.25,2422813
2021. 5. 25 오후 4:00:00,163.33,163.99,160.69,162.95,3261109
2021. 5. 26 오후 4:00:00,163.73,164.79,162.93,163.26,2383986
2021. 5. 27 오후 4:00:00,162.8,163.02,161.5,161.51,2561157
2021. 5. 28 오후 4:00:00,162.1,162.4,160.99,161.15,2331509
2021. 6. 1 오후 4:00:00,162.17,162.55,160.45,160.93,2430045
2021. 6. 2 오후 4:00:00,161.16,161.75,160.4,161.7,2014524
2021. 6. 3 오후 4:00:00,160.21,160.72,159.2,159.35,2398293
2021. 6. 4 오후 4:00:00,160.6,161.05,159.94,160.31,2249749
2021. 6. 7 오후 4:00:00,159.87,160.4,158.61,159.9,2215756
2021. 6. 8 오후 4:00:00,161.13,163.98,160.9,163.21,3416730
2021. 6. 9 오후 4:00:00,163.64,164.88,163.54,164.06,2455530
2021. 6. 10 오후 4:00:00,164.1,167.55,164.06,167.48,3476480
2021. 6. 11 오후 4:00:00,167.48,168.33,166.67,167.34,2817352
2021. 6. 14 오후 4:00:00,167.34,169.25,166.78,169.19,2569655
2021. 6. 15 오후 4:00:00,169.2,169.85,168.16,169.16,2426200
2021. 6. 16 오후 4:00:00,169.6,171.32,168.03,170.76,4202782
2021. 6. 17 오후 4:00:00,170.16,174.86,170.05,174.46,5136531
2021. 6. 18 오후 4:00:00,174,175.35,173.69,174.35,5247737
2021. 6. 21 오후 4:00:00,173.82,174.1,171.7,172.7,3277130
2021. 6. 22 오후 4:00:00,172.9,176.19,172.8,175.27,3345082
2021. 6. 23 오후 4:00:00,175.25,176.05,174.16,175.19,2813341
2021. 6. 24 오후 4:00:00,175.38,176.24,171.54,172.45,3831999
2021. 6. 25 오후 4:00:00,173.2,173.24,169.71,170.07,3940997
2021. 6. 28 오후 4:00:00,170.8,172.4,170.68,172.19,2242793
2021. 6. 29 오후 4:00:00,171.94,172.8,171.15,172.41,2098439
2021. 6. 30 오후 4:00:00,172.05,173.58,171.75,172.01,2403992
2021. 7. 1 오후 4:00:00,171.73,172.85,170.47,171.65,2037053
2021. 7. 2 오후 4:00:00,172.58,175.59,171.85,175.55,3176697
2021. 7. 6 오후 4:00:00,176.51,184.27,176.45,183.79,6744768
2021. 7. 7 오후 4:00:00,185.87,186.71,183.95,184.83,5328062
