Date,Open,High,Low,Close,Volume
2021. 5. 19 오후 4:00:00,239.31,243.23,238.6,243.12,25739807
2021. 5. 20 오후 4:00:00,243.96,247.95,243.86,246.48,21800716
2021. 5. 21 오후 4:00:00,247.57,248.33,244.74,245.17,21863058
2021. 5. 24 오후 4:00:00,247.79,251.16,247.51,250.78,21411547
2021. 5. 25 오후 4:00:00,251.77,252.75,250.82,251.72,17704303
2021. 5. 26 오후 4:00:00,251.43,252.94,250.75,251.49,17771600
2021. 5. 27 오후 4:00:00,251.17,251.48,249.25,249.31,24426244
2021. 5. 28 오후 4:00:00,251,252.08,249.56,249.68,18274942
2021. 6. 1 오후 4:00:00,251.23,251.29,246.96,247.4,23213310
2021. 6. 2 오후 4:00:00,248.13,249.27,245.84,247.3,19406705
2021. 6. 3 오후 4:00:00,245.22,246.34,243,245.71,25307711
2021. 6. 4 오후 4:00:00,247.76,251.65,247.51,250.79,25281094
2021. 6. 7 오후 4:00:00,249.98,254.09,249.81,253.81,23079167
2021. 6. 8 오후 4:00:00,255.16,256.01,252.51,252.57,22454998
2021. 6. 9 오후 4:00:00,253.81,255.53,253.21,253.59,17937634
2021. 6. 10 오후 4:00:00,254.29,257.46,253.67,257.24,24563619
2021. 6. 11 오후 4:00:00,257.99,258.49,256.61,257.89,18999731
2021. 6. 14 오후 4:00:00,257.9,259.95,256.8,259.89,19150507
2021. 6. 15 오후 4:00:00,259.77,259.99,257.68,258.36,18038931
2021. 6. 16 오후 4:00:00,259.4,260.58,254.42,257.38,27219956
2021. 6. 17 오후 4:00:00,256.07,261.75,256.01,260.9,27565537
2021. 6. 18 오후 4:00:00,259.63,262.3,258.75,259.43,37202217
2021. 6. 21 오후 4:00:00,259.82,263.52,257.92,262.63,26696119
2021. 6. 22 오후 4:00:00,262.72,265.79,262.4,265.51,24694090
2021. 6. 23 오후 4:00:00,265.99,266.83,264.43,265.27,19518681
2021. 6. 24 오후 4:00:00,266.16,267.85,265.47,266.69,21446867
