Date,Open,High,Low,Close,Volume
2021. 5. 19 오후 4:00:00,111.42,113.75,111.27,113.58,1184205
2021. 5. 20 오후 4:00:00,114.55,115.6,114.18,115.35,1617550
2021. 5. 21 오후 4:00:00,115.87,115.94,114.47,114.71,2031590
2021. 5. 24 오후 4:00:00,115.74,118.28,115.6,118.05,1591610
2021. 5. 25 오후 4:00:00,118.6,119.2,117.75,118.14,1121982
2021. 5. 26 오후 4:00:00,118.33,119.45,118.32,119.02,1078598
2021. 5. 27 오후 4:00:00,119.45,119.45,117.81,118.13,1761201
2021. 5. 28 오후 4:00:00,118.72,118.8,117.64,117.84,1074540
2021. 6. 1 오후 4:00:00,118.72,119.29,117.71,119.06,1167901
2021. 6. 2 오후 4:00:00,119.46,119.68,117.62,118.53,1058146
2021. 6. 3 오후 4:00:00,117.29,117.85,116.48,117.38,934796
2021. 6. 4 오후 4:00:00,118.46,119.95,118.12,119.68,1222910
2021. 6. 7 오후 4:00:00,119.47,120.23,119.05,120.12,1205966
2021. 6. 8 오후 4:00:00,120.6,120.98,119.74,119.92,1211992
2021. 6. 9 오후 4:00:00,120.57,120.64,119.85,120.4,897052
2021. 6. 10 오후 4:00:00,120.35,121.8,120.19,121.76,1295375
2021. 6. 11 오후 4:00:00,122,122.09,120.95,121.51,1097907
2021. 6. 14 오후 4:00:00,121.61,122.45,120.9,122.45,1104878
2021. 6. 15 오후 4:00:00,122.45,122.78,121.06,121.42,1078107
2021. 6. 16 오후 4:00:00,121.57,121.89,119.47,120.77,1323593
2021. 6. 17 오후 4:00:00,120.7,122.52,120.5,121.74,1292444
2021. 6. 18 오후 4:00:00,121.37,121.6,120.02,120.11,2305760
2021. 6. 21 오후 4:00:00,120.5,122,119.9,121.81,1370683
2021. 6. 22 오후 4:00:00,121.75,122.4,121.06,122.33,1119510
2021. 6. 23 오후 4:00:00,122.09,123.1,121.83,122.13,957708
2021. 6. 24 오후 4:00:00,122.7,123.06,122.3,122.5,1068257
2021. 6. 25 오후 4:00:00,122,122.63,121.57,122.51,1729819
2021. 6. 28 오후 4:00:00,122.68,122.78,121.41,122.54,1426271
2021. 6. 29 오후 4:00:00,122.67,123.02,121.69,122.27,1155436
2021. 6. 30 오후 4:00:00,121.99,122.26,121.35,122.09,1223699
2021. 7. 1 오후 4:00:00,121.73,122.59,121.53,122.44,905641
2021. 7. 2 오후 4:00:00,123.15,125.4,123.06,125.26,1300109
2021. 7. 6 오후 4:00:00,125.65,126.43,124.58,126.19,1320179
2021. 7. 7 오후 4:00:00,127.16,127.28,126.15,126.47,1202951
2021. 7. 8 오후 4:00:00,124.03,125.6,124.02,125.04,1189467
2021. 7. 9 오후 4:00:00,125.03,125.73,124.55,125.52,931584
2021. 7. 12 오후 4:00:00,126.18,127.07,125.61,126.98,883389
2021. 7. 13 오후 4:00:00,127.04,128.06,126.67,127.34,962347
2021. 7. 14 오후 4:00:00,127.96,129.33,127.91,128.24,1187283
2021. 7. 15 오후 4:00:00,128.65,128.7,126.53,127.01,1210940
2021. 7. 16 오후 4:00:00,127.66,127.81,126.15,126.97,1021227
2021. 7. 19 오후 4:00:00,126.09,126.21,123.51,124.58,1398379
2021. 7. 20 오후 4:00:00,125.53,127.04,124.35,126.21,1315822
2021. 7. 21 오후 4:00:00,126.13,127.6,126.02,127.55,1037309
2021. 7. 22 오후 4:00:00,127.84,128.48,127.5,128.42,715094
2021. 7. 23 오후 4:00:00,130.43,133.4,129.8,133.01,2075321
2021. 7. 26 오후 4:00:00,133.33,134.24,132.3,134.04,1528574
2021. 7. 27 오후 4:00:00,134.25,134.4,130.1,131.9,2735474
2021. 7. 28 오후 4:00:00,136.31,138.3,135.28,136.09,4756530
2021. 7. 29 오후 4:00:00,136.15,136.66,135.54,135.78,1585786
2021. 7. 30 오후 4:00:00,135.04,135.3,134.26,134.73,1278789
2021. 8. 2 오후 4:00:00,135.12,135.34,133.79,134.85,1081710
2021. 8. 3 오후 4:00:00,135.14,135.73,133.32,135.63,1038094
2021. 8. 4 오후 4:00:00,135.35,135.65,134.49,135.13,983801
2021. 8. 5 오후 4:00:00,135.68,136.35,134.85,136.25,893450
2021. 8. 6 오후 4:00:00,136.04,136.47,135.21,135.74,1024406
2021. 8. 9 오후 4:00:00,135.94,137.18,135.34,136.91,888300
2021. 8. 10 오후 4:00:00,137.34,137.77,136.36,136.81,970704
2021. 8. 11 오후 4:00:00,137.18,137.68,136.27,136.28,767600
2021. 8. 12 오후 4:00:00,135.98,137.3,135.43,137.19,825943
2021. 8. 13 오후 4:00:00,137.25,137.86,137.03,137.73,797372
2021. 8. 16 오후 4:00:00,137.52,138.36,135.3,138.31,1119918
2021. 8. 17 오후 4:00:00,137.75,138.27,136.08,136.66,1085760
2021. 8. 18 오후 4:00:00,136.5,137.1,135.32,135.45,962947
2021. 8. 19 오후 4:00:00,134.44,136.35,134.25,135.68,1089127
2021. 8. 20 오후 4:00:00,136,137.55,135.25,137.43,1559658
2021. 8. 23 오후 4:00:00,137.97,140.87,137.61,140.04,1422670
2021. 8. 24 오후 4:00:00,140.61,142.08,140.34,141.26,963361
2021. 8. 25 오후 4:00:00,141.63,142.19,141.38,142.08,792574
2021. 8. 26 오후 4:00:00,141.75,142.42,141.36,141.44,1030466
2021. 8. 27 오후 4:00:00,141.65,144.51,141.5,144,1439010
2021. 8. 30 오후 4:00:00,144.4,145.97,144.16,144.59,1221710
2021. 8. 31 오후 4:00:00,145.15,145.17,144.28,144.7,1122438
2021. 9. 1 오후 4:00:00,145,146.25,144.88,145.22,1096805
2021. 9. 2 오후 4:00:00,145.22,145.52,143.18,143.29,1617907
2021. 9. 3 오후 4:00:00,143.08,144.16,142.4,143.74,992718
2021. 9. 7 오후 4:00:00,143.83,144.57,143.62,144.28,1006595
2021. 9. 8 오후 4:00:00,144.1,144.4,143,143.69,917511
2021. 9. 9 오후 4:00:00,143.84,144.31,143.18,143.54,765855
2021. 9. 10 오후 4:00:00,144.21,144.72,140.74,140.88,1841967
2021. 9. 13 오후 4:00:00,141.95,142.95,141.25,142.33,1104692
2021. 9. 14 오후 4:00:00,143,143.36,141.75,142.54,983693
2021. 9. 15 오후 4:00:00,142.77,144.45,141.35,144.43,1370379
2021. 9. 16 오후 4:00:00,143.95,144.3,142.4,143.61,1309771
2021. 9. 17 오후 4:00:00,143.03,143.45,140.47,140.8,2669223
2021. 9. 20 오후 4:00:00,138.16,139,136.32,138.72,2325902
2021. 9. 21 오후 4:00:00,139.75,140.01,138.28,139.03,1266595
2021. 9. 22 오후 4:00:00,139.3,140.89,138.55,140.28,1252778
2021. 9. 23 오후 4:00:00,140.99,141.7,140.4,141.22,1047550
2021. 9. 24 오후 4:00:00,140.54,142.33,140.24,142.22,1149195
2021. 9. 27 오후 4:00:00,140.8,141.94,140.07,141.07,1094098
2021. 9. 28 오후 4:00:00,138.66,139.1,135.36,135.83,2288610
2021. 9. 29 오후 4:00:00,136.98,137.15,133.87,134.35,1542435
2021. 9. 30 오후 4:00:00,134.26,135.54,133.56,133.68,1901440
2021. 10. 1 오후 4:00:00,134.45,136.91,134.07,136.54,1768009
2021. 10. 4 오후 4:00:00,135.96,135.96,131.05,133.66,2560097
2021. 10. 5 오후 4:00:00,134.04,137.22,134.04,136.02,1620163
2021. 10. 6 오후 4:00:00,134.75,137.75,134.55,137.57,1218214
2021. 10. 7 오후 4:00:00,138.89,140.04,138.65,139.23,1255507
2021. 10. 8 오후 4:00:00,139.58,140.33,139.22,139.79,1326292
2021. 10. 11 오후 4:00:00,139.29,140.71,138.86,138.91,897681
2021. 10. 12 오후 4:00:00,139.48,139.51,135.76,136.45,1816612
2021. 10. 13 오후 4:00:00,137.4,138,136.52,137.58,983116
2021. 10. 14 오후 4:00:00,139.47,141.34,138.82,141.15,1596397
2021. 10. 15 오후 4:00:00,141.61,141.72,140.76,141.37,1513722
2021. 10. 18 오후 4:00:00,141.08,142.8,141.07,142.78,1019808
2021. 10. 19 오후 4:00:00,143.39,143.66,142.6,143.24,1008150
2021. 10. 20 오후 4:00:00,143.34,143.55,141.38,141.77,1164403
2021. 10. 21 오후 4:00:00,141.77,142.16,140.5,141.89,1314613
2021. 10. 22 오후 4:00:00,139.15,140.58,136.06,137.57,2529448
2021. 10. 25 오후 4:00:00,137.55,138,135.42,137.45,1720613
2021. 10. 26 오후 4:00:00,139.26,140.08,138.3,139.31,2461751
2021. 10. 27 오후 4:00:00,139.41,148.65,139.41,146.22,4289070
2021. 10. 28 오후 4:00:00,147.13,147.16,144.63,145.85,1810319
2021. 10. 29 오후 4:00:00,145.08,148.24,144.65,148.05,2166015
2021. 11. 1 오후 4:00:00,148.05,148.05,143.23,143.5,2346162
2021. 11. 2 오후 4:00:00,144.58,146.61,144.34,145.43,1674112
2021. 11. 3 오후 4:00:00,145.9,146.67,144.59,146.6,1374662
2021. 11. 4 오후 4:00:00,147.12,149.73,146.31,148.27,1920563
2021. 11. 5 오후 4:00:00,149.17,150.33,148.2,148.85,1917737
2021. 11. 8 오후 4:00:00,149.82,150.61,148.43,149.03,1152625
2021. 11. 9 오후 4:00:00,149.23,149.83,147.24,148.92,976487
2021. 11. 10 오후 4:00:00,147.5,148.07,144.54,145.89,1498490
2021. 11. 11 오후 4:00:00,146.49,147.54,145.6,145.77,825874
2021. 11. 12 오후 4:00:00,146.62,148.85,145.41,148.68,1118000
2021. 11. 15 오후 4:00:00,148.9,149.55,147.57,148.45,1175352
2021. 11. 16 오후 4:00:00,148.15,148.76,147.31,147.88,945200
2021. 11. 17 오후 4:00:00,148.03,148.56,147.24,148.05,979975
2021. 11. 18 오후 4:00:00,148.24,150.58,147.88,149.84,1781411
2021. 11. 19 오후 4:00:00,149.98,150.97,148.9,148.93,1684969
2021. 11. 22 오후 4:00:00,149.33,149.83,146.15,146.3,1531460
2021. 11. 23 오후 4:00:00,146.15,146.66,144.12,145.78,1361558
2021. 11. 24 오후 4:00:00,145.47,146.25,144.37,146.12,902007
2021. 11. 26 오후 1:00:00,144.35,144.56,141.84,142.18,1523462
2021. 11. 29 오후 4:00:00,144,146.3,143.89,145.53,1629752
2021. 11. 30 오후 4:00:00,145.01,146,141.6,141.9,2103361
2021. 12. 1 오후 4:00:00,144,145.95,140.91,141.05,1702762
2021. 12. 2 오후 4:00:00,141.25,143.86,140.21,142.97,1459742
2021. 12. 3 오후 4:00:00,143.68,144.4,140.3,142,2061508
2021. 12. 6 오후 4:00:00,143.04,143.85,140.15,143.16,1530905
2021. 12. 7 오후 4:00:00,145.6,147.53,145.23,147.27,1612015
2021. 12. 8 오후 4:00:00,147.6,148.39,146.41,148.19,1213516
2021. 12. 9 오후 4:00:00,147.59,149.1,147.12,147.64,1163486
2021. 12. 10 오후 4:00:00,148.7,148.98,146.7,148,1223138
2021. 12. 13 오후 4:00:00,147.78,147.97,145.52,145.83,1353470
2021. 12. 14 오후 4:00:00,143.97,144.48,141.21,143.91,1922312
2021. 12. 15 오후 4:00:00,143.41,146.72,141.68,146.44,1818523
2021. 12. 16 오후 4:00:00,147.17,147.68,143.61,144.45,1682519
2021. 12. 17 오후 4:00:00,142.5,143.83,141.3,141.73,2550894
2021. 12. 20 오후 4:00:00,140,141.77,139.32,141.61,1359618
2021. 12. 21 오후 4:00:00,142.05,143.87,140.5,143.47,1437768
2021. 12. 22 오후 4:00:00,143.07,146.5,143.07,146.42,1316119
2021. 12. 23 오후 4:00:00,146.5,148.24,146.45,146.92,1319172
2021. 12. 27 오후 4:00:00,147.26,148.34,147.17,147.91,799223
2021. 12. 28 오후 4:00:00,148.24,148.3,146.05,146.69,912715
2021. 12. 29 오후 4:00:00,146.64,147.42,145.65,146.66,889373
2021. 12. 30 오후 4:00:00,146.69,147.3,145.99,146.2,784386
2021. 12. 31 오후 4:00:00,146.05,146.7,144.85,144.85,906759
