Date,Open,High,Low,Close,Volume
2021. 4. 1 오후 4:00:00,298.4,302.4,296.6,298.66,17615980
2021. 4. 5 오후 4:00:00,300.89,310.77,300.68,308.91,28237006
2021. 4. 6 오후 4:00:00,308.84,311.35,305.25,306.26,17335246
2021. 4. 7 오후 4:00:00,306.34,314.25,305.5,313.09,22855241
2021. 4. 8 오후 4:00:00,314.85,315.88,310.05,313.02,20894148
2021. 4. 9 오후 4:00:00,311.4,314.74,310.33,312.46,15988568
2021. 4. 12 오후 4:00:00,311.05,312.15,307.93,311.54,10881935
2021. 4. 13 오후 4:00:00,312.21,314.43,309.32,309.76,14036927
2021. 4. 14 오후 4:00:00,307.3,308.03,301.95,302.82,17421393
2021. 4. 15 오후 4:00:00,306.34,310.14,304.1,307.82,14558273
2021. 4. 16 오후 4:00:00,308.17,308.95,304.61,306.18,13059163
2021. 4. 19 오후 4:00:00,305.01,307.7,300.56,302.24,14553507
2021. 4. 20 오후 4:00:00,301.99,305.1,297.21,302.65,16796442
2021. 4. 21 오후 4:00:00,301.95,301.98,297.39,301.47,14863474
2021. 4. 22 오후 4:00:00,301.33,302.92,296.04,296.52,16375350
2021. 4. 23 오후 4:00:00,298.76,302.59,297.15,301.13,17559498
2021. 4. 26 오후 4:00:00,303.34,305.8,301.56,303.04,16172593
2021. 4. 27 오후 4:00:00,304.28,305.34,301.11,303.57,15309256
2021. 4. 28 오후 4:00:00,307.36,310.92,305.37,307.1,33907210
2021. 4. 29 오후 4:00:00,330.12,331.81,321.61,329.51,56526771
2021. 4. 30 오후 4:00:00,326.14,329.82,324.5,325.08,26332423
2021. 5. 3 오후 4:00:00,326.17,328.55,321.84,322.58,18719462
2021. 5. 4 오후 4:00:00,320.02,322.19,313.12,318.36,24032557
2021. 5. 5 오후 4:00:00,318.19,321.06,314.49,315.02,15577605
2021. 5. 6 오후 4:00:00,314.52,320.24,313.27,320.02,19012241
2021. 5. 7 오후 4:00:00,322.38,322.94,318.75,319.08,15916743
2021. 5. 10 오후 4:00:00,314.35,314.58,304.83,305.97,24239170
2021. 5. 11 오후 4:00:00,300.75,306.84,299.69,306.53,18920086
2021. 5. 12 오후 4:00:00,301.13,304.96,298.19,302.55,24641010
2021. 5. 13 오후 4:00:00,306.08,308.86,302.77,305.26,18079160
2021. 5. 14 오후 4:00:00,309.54,316.85,309.08,315.94,19245724
2021. 5. 17 오후 4:00:00,313.55,315.68,311.58,315.46,15401343
2021. 5. 18 오후 4:00:00,315.59,316.5,309.81,309.96,14522403
2021. 5. 19 오후 4:00:00,304.19,314.66,303.57,313.59,19106244
2021. 5. 20 오후 4:00:00,313.58,319.25,313.16,318.61,17320241
2021. 5. 21 오후 4:00:00,319.29,319.93,315.81,316.23,13600901
2021. 5. 24 오후 4:00:00,318.21,325.95,318.03,324.63,16445356
2021. 5. 25 오후 4:00:00,327.08,329.18,324.8,327.79,16436965
2021. 5. 26 오후 4:00:00,328.35,329.83,325.82,327.66,9686917
2021. 5. 27 오후 4:00:00,328,333.78,326.76,332.75,20477726
2021. 5. 28 오후 4:00:00,331,332.87,328.33,328.73,12037430
2021. 6. 1 오후 4:00:00,330.15,331.42,326.64,329.13,11765906
2021. 6. 2 오후 4:00:00,330.38,331.87,327.12,329.15,11654275
2021. 6. 3 오후 4:00:00,325.78,327.38,323.48,326.04,12610788
2021. 6. 4 오후 4:00:00,325.9,332.46,325.18,330.35,13289383
2021. 6. 7 오후 4:00:00,329.48,337.69,328.93,336.58,20136707
2021. 6. 8 오후 4:00:00,336.7,338.3,332.24,333.68,14580464
2021. 6. 9 오후 4:00:00,335.74,336.8,330,330.25,13727946
2021. 6. 10 오후 4:00:00,330.79,333.94,328.55,332.46,13240229
2021. 6. 11 오후 4:00:00,332.58,332.83,328.93,331.26,13587916
2021. 6. 14 오후 4:00:00,331.9,336.82,329.81,336.77,12250799
2021. 6. 15 오후 4:00:00,336.99,339.92,335.03,336.75,15795226
2021. 6. 16 오후 4:00:00,336.7,337.55,328.72,331.08,17232157
2021. 6. 17 오후 4:00:00,330.49,337.98,330.15,336.51,17794080
2021. 6. 18 오후 4:00:00,334.53,336.15,329,329.66,23039457
2021. 6. 21 오후 4:00:00,331.09,332.92,327.65,332.29,11337522
2021. 6. 22 오후 4:00:00,332.69,339.92,332.6,339.03,15345299
2021. 6. 23 오후 4:00:00,339.35,343.42,338.2,340.59,14817824
2021. 6. 24 오후 4:00:00,341.85,344.9,341.79,343.18,12329096
2021. 6. 25 오후 4:00:00,342.59,344.12,339.68,341.37,14594444
2021. 6. 28 오후 4:00:00,342.46,358.14,341.77,355.64,29156132
2021. 6. 29 오후 4:00:00,356.27,356.74,349.05,351.89,21417305
2021. 6. 30 오후 4:00:00,352.17,352.92,347.17,347.71,15107514
2021. 7. 1 오후 4:00:00,346.82,354.67,346.5,354.39,17137021
2021. 7. 2 오후 4:00:00,355.1,356.44,352.62,354.7,11524614
2021. 7. 6 오후 4:00:00,356.5,358.79,349.18,352.78,13488455
2021. 7. 7 오후 4:00:00,355.26,356.49,350,350.49,14218866
2021. 7. 8 오후 4:00:00,345.73,348.33,342.56,345.65,14406457
2021. 7. 9 오후 4:00:00,345.32,350.71,345.27,350.42,13018694
2021. 7. 12 오후 4:00:00,351.23,354.19,349.64,353.16,10018624
2021. 7. 13 오후 4:00:00,351.5,358.49,348.8,352.09,11455963
2021. 7. 14 오후 4:00:00,354.56,355.2,346.73,347.63,13894221
2021. 7. 15 오후 4:00:00,349.23,349.23,340.22,344.46,14781594
2021. 7. 16 오후 4:00:00,344.91,345.99,340.14,341.16,11026093
2021. 7. 19 오후 4:00:00,337.57,339.79,334.54,336.95,14372345
2021. 7. 20 오후 4:00:00,338.8,343.45,334.5,341.66,11024277
2021. 7. 21 오후 4:00:00,341.5,346.52,341.25,346.23,9279657
2021. 7. 22 오후 4:00:00,346.68,351.54,345.21,351.19,12385441
2021. 7. 23 오후 4:00:00,360.91,375.33,357.19,369.79,33694328
2021. 7. 26 오후 4:00:00,369.58,374.44,368.22,372.46,14925222
2021. 7. 27 오후 4:00:00,371.91,373.15,364.55,367.81,15705447
2021. 7. 28 오후 4:00:00,374.56,377.55,366.93,373.28,29676910
2021. 7. 29 오후 4:00:00,361,365.52,356.74,358.32,33413244
2021. 7. 30 오후 4:00:00,354,360.73,352.94,356.3,15976179
2021. 8. 2 오후 4:00:00,358.1,359.4,350.74,351.95,13180439
2021. 8. 3 오후 4:00:00,352.73,353.77,347.7,351.24,12406054
2021. 8. 4 오후 4:00:00,352.42,360.48,351.51,358.92,14180572
2021. 8. 5 오후 4:00:00,359.64,363.9,356.9,362.97,10247207
2021. 8. 6 오후 4:00:00,361.4,365.15,361.4,363.51,8925017
2021. 8. 9 오후 4:00:00,363.76,365.78,360.75,361.61,7798872
2021. 8. 10 오후 4:00:00,361.83,364.1,359.04,361.13,7469878
2021. 8. 11 오후 4:00:00,362.1,362.36,357.81,359.96,8400332
2021. 8. 12 오후 4:00:00,358.45,363,357.11,362.65,7175206
