Date,Open,High,Low,Close,Volume
2021. 5. 19 오후 4:00:00,184.18,188.74,182.33,187.82,39578395
2021. 5. 20 오후 4:00:00,191.67,196.28,190.36,195.59,30821119
2021. 5. 21 오후 4:00:00,198.7,198.89,193.33,193.63,26030595
2021. 5. 24 오후 4:00:00,193.87,204.83,191.22,202.15,34558089
2021. 5. 25 오후 4:00:00,202.44,204.66,198.57,201.56,28005933
2021. 5. 26 오후 4:00:00,202.52,208.72,200.5,206.38,28639305
2021. 5. 27 오후 4:00:00,206.75,210.38,205.4,210.28,26370593
2021. 5. 28 오후 4:00:00,209.5,211.86,207.46,208.41,22737038
2021. 6. 1 오후 4:00:00,209.27,211.27,206.85,207.97,18084890
2021. 6. 2 오후 4:00:00,206.71,207.79,199.71,201.71,23302779
2021. 6. 3 오후 4:00:00,200.6,201.52,190.41,190.95,30111893
2021. 6. 4 오후 4:00:00,193.24,200.2,192.4,199.68,24036896
2021. 6. 7 오후 4:00:00,197.28,203.33,194.29,201.71,22543682
2021. 6. 8 오후 4:00:00,207.67,207.7,198.5,201.2,26053405
2021. 6. 9 오후 4:00:00,200.72,203.93,199.21,199.59,16584566
2021. 6. 10 오후 4:00:00,201.29,205.53,200.17,203.37,23919606
2021. 6. 11 오후 4:00:00,203.41,204.19,200.51,203.3,16205303
2021. 6. 14 오후 4:00:00,204.08,208.5,203.06,205.9,20423983
2021. 6. 15 오후 4:00:00,205.56,205.6,199.41,199.79,17764145
2021. 6. 16 오후 4:00:00,199.18,202.83,197.83,201.62,22144127
2021. 6. 17 오후 4:00:00,200.63,207.16,200.45,205.53,22701350
2021. 6. 18 오후 4:00:00,204.46,209.45,203.93,207.77,24560905
2021. 6. 21 오후 4:00:00,208.16,210.46,202.96,206.94,24812741
2021. 6. 22 오후 4:00:00,206.08,209.52,205.17,207.9,19158892
2021. 6. 23 오후 4:00:00,210.67,219.07,210.01,218.86,31099228
2021. 6. 24 오후 4:00:00,225,232.54,222.54,226.61,45982386
2021. 6. 25 오후 4:00:00,229.86,231.27,222.9,223.96,32496707
2021. 6. 28 오후 4:00:00,223.88,231.57,223.44,229.57,21628159
2021. 6. 29 오후 4:00:00,228.22,229.17,225.3,226.92,17381313
2021. 6. 30 오후 4:00:00,226.59,230.94,226.05,226.57,18924862
2021. 7. 1 오후 4:00:00,227.97,229.33,224.27,225.97,18634522
2021. 7. 2 오후 4:00:00,226.33,233.33,224.42,226.3,27097374
